epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6940.42,0.91284,0.38785,0.93449,0.991,0.9936,0.99382,0.82382,0.86851,0.35837,0.93596,0.000996313,0.000996313,0.000996313
43,7100.02,0.91496,0.38484,0.93301,0.99086,0.99534,0.99403,0.8388,0.85078,0.33431,0.93208,0.000990125,0.000990125,0.000990125
44,7265.47,0.90782,0.38161,0.92824,0.99165,0.99482,0.99425,0.84238,0.84953,0.3387,0.92953,0.000983938,0.000983938,0.000983938
45,7420.97,0.91131,0.38597,0.93558,0.99025,0.99568,0.99413,0.83522,0.8517,0.3425,0.93211,0.00097775,0.00097775,0.00097775
46,7589.5,0.90295,0.37744,0.9334,0.98924,0.99739,0.99419,0.83927,0.85144,0.332,0.93149,0.000971562,0.000971562,0.000971562
47,7763.6,0.89907,0.37768,0.92907,0.99186,0.99482,0.99411,0.83214,0.84821,0.33815,0.9299,0.000965375,0.000965375,0.000965375
48,7936.58,0.90238,0.38021,0.92363,0.99296,0.99397,0.99387,0.83912,0.84902,0.33722,0.92931,0.000959187,0.000959187,0.000959187
49,8093.66,0.8854,0.37153,0.92832,0.99134,0.995,0.99419,0.83826,0.85374,0.33186,0.93244,0.000953,0.000953,0.000953
50,8265.67,0.9072,0.3726,0.9264,0.99159,0.99481,0.99409,0.84215,0.84872,0.33794,0.93144,0.000946812,0.000946812,0.000946812
51,8424.31,0.90908,0.38128,0.93104,0.99024,0.99268,0.99396,0.8356,0.85146,0.3414,0.93302,0.000940625,0.000940625,0.000940625
52,8582.89,0.9077,0.38119,0.93,0.99112,0.99602,0.99422,0.84608,0.84195,0.32459,0.92885,0.000934438,0.000934438,0.000934438
53,8735.76,0.89535,0.37178,0.92707,0.99083,0.99676,0.99416,0.84377,0.84568,0.3313,0.92929,0.00092825,0.00092825,0.00092825
54,8898.72,0.89798,0.37569,0.93323,0.9921,0.99554,0.99424,0.84359,0.84242,0.32684,0.92726,0.000922063,0.000922063,0.000922063
55,9065.83,0.89082,0.3726,0.92443,0.99167,0.99699,0.99431,0.84532,0.84329,0.33019,0.92929,0.000915875,0.000915875,0.000915875
56,9229.78,0.89887,0.37775,0.92987,0.99305,0.99015,0.99404,0.83462,0.85263,0.34,0.93094,0.000909688,0.000909688,0.000909688
57,9390.02,0.90434,0.37281,0.92735,0.99341,0.99309,0.99427,0.8412,0.8428,0.32452,0.93035,0.0009035,0.0009035,0.0009035
58,9554.8,0.9031,0.37361,0.92254,0.99124,0.99499,0.99421,0.84027,0.84754,0.33675,0.93063,0.000897313,0.000897313,0.000897313
59,9720.58,0.89659,0.37306,0.92691,0.99143,0.9957,0.99413,0.83574,0.85514,0.33309,0.93224,0.000891125,0.000891125,0.000891125
60,9886.17,0.89229,0.36976,0.92863,0.99335,0.99359,0.99413,0.83608,0.84399,0.33301,0.92744,0.000884938,0.000884938,0.000884938
61,10044.6,0.89041,0.36651,0.92555,0.991,0.99166,0.99413,0.84053,0.84279,0.32187,0.92873,0.00087875,0.00087875,0.00087875
62,10212.5,0.8964,0.36379,0.92692,0.99094,0.99579,0.99414,0.84237,0.8422,0.3201,0.92886,0.000872563,0.000872563,0.000872563
