epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,29587.7,0.81543,0.30948,0.90882,0.99463,0.99433,0.99432,0.85826,0.80694,0.27821,0.91654,0.000130062,0.000130062,0.000130062
183,29748.5,0.83076,0.31079,0.90754,0.99261,0.99431,0.99417,0.85894,0.80931,0.27652,0.91776,0.000123875,0.000123875,0.000123875
184,29907.9,0.82199,0.31147,0.9073,0.99342,0.99482,0.99413,0.85869,0.80989,0.27951,0.91778,0.000117687,0.000117687,0.000117687
185,30058.6,0.81928,0.30607,0.91074,0.9935,0.99431,0.99422,0.8606,0.80825,0.27692,0.91736,0.0001115,0.0001115,0.0001115
186,30219.4,0.82533,0.3087,0.90183,0.99315,0.99379,0.99413,0.85818,0.80971,0.2769,0.9179,0.000105312,0.000105312,0.000105312
187,30383.7,0.82763,0.31258,0.90929,0.99289,0.99431,0.99417,0.85626,0.80944,0.27935,0.91763,9.9125e-05,9.9125e-05,9.9125e-05
188,30539.9,0.81917,0.30462,0.90867,0.99252,0.99534,0.99415,0.85601,0.81009,0.27961,0.91757,9.29375e-05,9.29375e-05,9.29375e-05
189,30709.6,0.80284,0.30464,0.90427,0.99194,0.99499,0.99418,0.85667,0.80998,0.27733,0.91747,8.675e-05,8.675e-05,8.675e-05
190,30874.2,0.83227,0.31049,0.90647,0.99417,0.99255,0.99408,0.85838,0.81122,0.27802,0.91796,8.05625e-05,8.05625e-05,8.05625e-05
191,31013.5,0.84706,0.29567,0.92439,0.99423,0.99377,0.99411,0.85591,0.81331,0.27857,0.91906,7.4375e-05,7.4375e-05,7.4375e-05
192,31139.6,0.84037,0.29377,0.92485,0.99364,0.99337,0.9941,0.85689,0.80962,0.27706,0.9184,6.81875e-05,6.81875e-05,6.81875e-05
193,31268.8,0.83781,0.29215,0.92659,0.99276,0.99346,0.99401,0.85741,0.81046,0.27962,0.9189,6.2e-05,6.2e-05,6.2e-05
194,31393.2,0.83777,0.29168,0.92421,0.99411,0.99379,0.99407,0.8574,0.81156,0.27844,0.91894,5.58125e-05,5.58125e-05,5.58125e-05
195,31524.8,0.83993,0.29137,0.92817,0.99403,0.99429,0.99411,0.85841,0.81137,0.27903,0.91801,4.9625e-05,4.9625e-05,4.9625e-05
196,31644.1,0.83359,0.29091,0.92262,0.99347,0.99482,0.99405,0.85829,0.81127,0.27785,0.91781,4.34375e-05,4.34375e-05,4.34375e-05
197,31769.5,0.8379,0.29091,0.92857,0.9943,0.99443,0.99407,0.85907,0.80999,0.27845,0.918,3.725e-05,3.725e-05,3.725e-05
198,31903.4,0.83114,0.28821,0.92719,0.99436,0.9946,0.99407,0.85874,0.81049,0.27946,0.91829,3.10625e-05,3.10625e-05,3.10625e-05
199,32023.1,0.83415,0.28874,0.92708,0.99427,0.99431,0.99408,0.85657,0.8098,0.27841,0.91819,2.4875e-05,2.4875e-05,2.4875e-05
200,32152.3,0.82803,0.29019,0.92263,0.9945,0.99431,0.99409,0.85716,0.80959,0.27765,0.91781,1.86875e-05,1.86875e-05,1.86875e-05
